riskhater_wealth,riskhater_creturns,naive_wealth,naive_creturns,markowitzsavvy1_wealth,markowitzsavvy1_creturns,markowitzsavvy2_wealth,markowitzsavvy2_creturns,markowitzsavvy3_wealth,markowitzsavvy3_creturns
1.11132,0.11132,2.92021,1.92021,1.57843,0.578429,5.37751,4.37751,3.68904e-08,-1
1.11153,0.111528,2.93935,1.93935,1.5751,0.5751,5.30535,4.30535,3.17018e-08,-1
1.11174,0.111738,2.96483,1.96483,1.5692,0.569199,5.18249,4.18249,2.40445e-08,-1
1.11195,0.111948,3.00019,2.00019,1.57379,0.573792,5.26766,4.26766,2.8093e-08,-1
1.11215,0.112154,3.09566,2.09566,1.58409,0.584089,5.46648,4.46648,3.90144e-08,-1
1.11236,0.112356,3.15636,2.15636,1.56995,0.569947,5.17444,4.17444,1.74002e-08,-1
1.11255,0.112553,3.12739,2.12739,1.58347,0.583474,5.43135,4.43135,2.62965e-08,-1
1.11275,0.112754,3.13223,2.13223,1.58321,0.583213,5.42128,4.42128,2.57479e-08,-1
1.11295,0.112952,3.11887,2.11887,1.59068,0.590683,5.5666,4.5666,3.28364e-08,-1
1.11315,0.113146,3.09525,2.09525,1.58645,0.586449,5.47531,4.47531,2.72226e-08,-1
1.11335,0.113346,3.12621,2.12621,1.59356,0.59356,5.61467,4.61467,3.4338e-08,-1
1.11354,0.113545,3.15826,2.15826,1.59235,0.592346,5.58465,4.58465,3.23835e-08,-1
1.11374,0.113745,3.24633,2.24633,1.58413,0.58413,5.41046,4.41046,2.18893e-08,-1
1.11394,0.113937,3.27953,2.27953,1.57639,0.576385,5.25165,4.25165,1.52228e-08,-1
1.11413,0.114133,3.27839,2.27839,1.57967,0.579674,5.31131,4.31131,1.69838e-08,-1
1.11433,0.114325,3.28058,2.28058,1.57869,0.578687,5.28749,4.28749,1.61703e-08,-1
1.11452,0.114517,3.32256,2.32256,1.57661,0.576608,5.24247,4.24247,1.47232e-08,-1
1.11471,0.114709,3.32425,2.32425,1.57657,0.576572,5.23744,4.23744,1.45539e-08,-1
1.1149,0.114899,3.3255,2.3255,1.57422,0.574218,5.18753,4.18753,1.30994e-08,-1
1.11509,0.115091,3.324,2.324,1.56995,0.569949,5.10124,4.10124,1.08299e-08,-1
1.11528,0.115284,3.33837,2.33837,1.5747,0.574701,5.18712,4.18712,1.26946e-08,-1
1.11547,0.115474,3.36699,2.36699,1.57459,0.574588,5.18069,4.18069,1.25121e-08,-1
1.11566,0.115663,3.3683,2.3683,1.57283,0.572832,5.14291,4.14291,1.15514e-08,-1
1.11585,0.115848,3.37208,2.37208,1.57489,0.574892,5.17787,4.17787,1.23429e-08,-1
1.11604,0.116037,3.40788,2.40788,1.57285,0.572854,5.13464,4.13464,1.12604e-08,-1
1.11622,0.11622,3.38792,2.38792,1.5707,0.570695,5.08985,4.08985,1.02309e-08,-1
1.11641,0.116406,3.38749,2.38749,1.57892,0.578919,5.24031,4.24031,1.3333e-08,-1
1.11659,0.116587,3.37758,2.37758,1.57055,0.570551,5.07581,4.07581,9.00107e-09,-1
1.11677,0.116766,3.39179,2.39179,1.57429,0.574286,5.1415,4.1415,1.01871e-08,-1
1.11695,0.116946,3.40925,2.40925,1.5818,0.581797,5.27903,4.27903,1.29785e-08,-1
1.11713,0.11713,3.40972,2.40972,1.58142,0.581419,5.26758,4.26758,1.26686e-08,-1
1.11731,0.117313,3.38888,2.38888,1.59259,0.592592,5.47881,4.47881,1.78848e-08,-1
1.1175,0.117496,3.44739,2.44739,1.59418,0.59418,5.50611,4.50611,1.87758e-08,-1
1.11767,0.117671,3.53153,2.53153,1.59556,0.595558,5.52936,4.52936,1.95642e-08,-1
1.11784,0.117842,3.53129,2.53129,1.59539,0.595389,5.52202,4.52202,1.92696e-08,-1
1.11801,0.118012,3.53245,2.53245,1.59456,0.594558,5.50161,4.50161,1.85101e-08,-1
1.11818,0.118184,3.57146,2.57146,1.59042,0.590419,5.41583,4.41583,1.55149e-08,-1
1.11835,0.118355,3.49731,2.49731,1.59223,0.592234,5.44728,4.44728,1.64196e-08,-1
1.11852,0.118523,3.53717,2.53717,1.58397,0.583965,5.28198,4.28198,1.1275e-08,-1
1.11869,0.118692,3.55001,2.55001,1.57876,0.578756,5.17894,4.17894,8.99782e-09,-1
1.11886,0.118862,3.57647,2.57647,1.58082,0.580821,5.21395,4.21395,9.61066e-09,-1
1.11903,0.119032,3.59538,2.59538,1.5783,0.578299,5.16271,4.16271,8.62607e-09,-1
1.1192,0.119197,3.57873,2.57873,1.58169,0.581689,5.22226,4.22226,9.63649e-09,-1
1.11936,0.119364,3.5654,2.5654,1.5781,0.578102,5.15104,4.15104,8.27243e-09,-1
1.11953,0.119533,3.56927,2.56927,1.55961,0.559609,4.80259,3.80259,2.50796e-09,-1
1.11971,0.119706,3.51413,2.51413,1.55135,0.551353,4.65352,3.65352,1.70367e-09,-1
1.11988,0.119876,3.51917,2.51917,1.55747,0.557468,4.75505,3.75505,2.08349e-09,-1
1.12005,0.12005,3.54208,2.54208,1.5616,0.561604,4.82398,3.82398,2.39122e-09,-1
1.12023,0.120226,3.58032,2.58032,1.56252,0.562519,4.83663,3.83663,2.45224e-09,-1
1.1204,0.120401,3.5529,2.5529,1.57465,0.574649,5.04854,4.04854,3.55425e-09,-1
1.12058,0.120576,3.56466,2.56466,1.58491,0.58491,5.2337,4.2337,4.89054e-09,-1
1.12075,0.120753,3.5409,2.5409,1.58678,0.586777,5.26522,4.26522,5.18649e-09,-1
1.12093,0.120926,3.53245,2.53245,1.58747,0.587472,5.27458,4.27458,5.27392e-09,-1
1.1211,0.121099,3.49407,2.49407,1.59652,0.596518,5.44291,4.44291,6.99766e-09,-1
1.12128,0.121276,3.45456,2.45456,1.59725,0.597248,5.45314,4.45314,7.1227e-09,-1
1.12146,0.121455,3.46532,2.46532,1.59061,0.590606,5.31841,4.31841,5.3002e-09,-1
1.12164,0.121636,3.49972,2.49972,1.59519,0.595191,5.40274,4.40274,6.15785e-09,-1
1.12182,0.121817,3.51294,2.51294,1.59138,0.591381,5.32413,4.32413,5.22571e-09,-1
1.122,0.121996,3.52904,2.52904,1.58914,0.589135,5.2768,4.2768,4.73962e-09,-1
1.12218,0.122177,3.51747,2.51747,1.5949,0.594899,5.38314,4.38314,5.71623e-09,-1
1.12236,0.122359,3.48529,2.48529,1.59505,0.595046,5.38182,4.38182,5.69316e-09,-1
1.12254,0.12254,3.48538,2.48538,1.59317,0.593167,5.34113,4.34113,5.24135e-09,-1
